candidate_id,family,chemistry_class,pbcnet_support,pbcnet_score,pbcnet_rank,panel_local_score_rank,rank_scope,admet_gate_state,admet_property_role,admet_risk_norm,solubility_status,permeability_status,toxicity_status,toxicity_decision,admet_property_packet_schema,admet_property_packet_proof_path,gatekeeper_vault,tail_bridge,solvent_ledge,closed_loop_count,edge_degree,runtime_pair_degree,rbfe_edge_count,min_protein_distance_A,clash_count_lt_2p2A,near_contact_count_lt_3p5A,geometry_evidence_state,pose_evidence_state,water_evidence_state,water_context_requirement,water_context_state,negative_guardrails,wet_review_claim_state,shared_reference_state,shared_reference_rank_scope,shared_reference_delta_g_vs_anchor_kcal_per_mol,shared_reference_graph_path,shared_reference_interpretation,readout,next_action
JTY027_aniline_diF_26diMe_benzamide,JTY027,benzamide,1.0,-0.22500532731044387,1.0,1.0,official_series_pbcnet_rank,hold,binding_challenger_liability_debt,0.5505,hold,review,review,review,sdf.jty027_sar_admet_property_packet.v1,/workspace/jldos_outputs/shared_runs/jty027_sar_autonomy/current_control_decision.json,0.98,0.12,0.1,0,0,0,0,,0,0,not_evaluated_no_receptor_atoms,observed_docked_pose,no_explicit_receptor_waters,not_required,not_required,none,not_claimed,not_applicable,,,,,PBCNet-only,queue RBFE or shared closed-loop confirmation before handoff
JTY027_aniline_diF_2Et_benzamide,JTY027,benzamide,0.983,-0.1844451930502895,2.0,2.0,official_series_pbcnet_rank,hold,tox_lipophilicity_contrast,0.5505,hold,review,review,review,sdf.jty027_sar_admet_property_packet.v1,/workspace/jldos_outputs/shared_runs/jty027_sar_autonomy/current_control_decision.json,0.98,0.12,0.1,0,0,0,0,,0,0,not_evaluated_no_receptor_atoms,observed_docked_pose,no_explicit_receptor_waters,not_required,not_required,none,not_claimed,not_applicable,,,,,PBCNet-only,queue RBFE or shared closed-loop confirmation before handoff
JTY027_aniline_diF,JTY027,aniline,0.961,-0.13202026233276618,3.0,3.0,official_series_pbcnet_rank,review,jty027_property_followup,0.3655,review,admit,review,review,sdf.jty027_sar_admet_property_packet.v1,/workspace/jldos_outputs/shared_runs/jty027_sar_autonomy/current_control_decision.json,0.76,0.28,0.1,0,0,0,0,,0,0,not_evaluated_no_receptor_atoms,observed_docked_pose,no_explicit_receptor_waters,not_required,not_required,none,not_claimed,not_applicable,,,,,PBCNet-only,queue RBFE or shared closed-loop confirmation before handoff
JTY023_pyrazine_tail,JTY023,tail,0.825,0.1965695369927608,3.0,3.0,panel_local_relative_ddg_rank,not_assessed,not_assessed,,,,,,,,0.24,0.98,0.1,3,25,0,0,,0,0,not_evaluated_no_receptor_atoms,observed_docked_pose,no_explicit_receptor_waters,not_required,not_required,none,not_claimed,not_applicable,,,,,PBCNet-only,queue RBFE or shared closed-loop confirmation before handoff
JTY027_aniline_diF_2F6Me_benzamide,JTY027,benzamide,0.953,-0.11124449553161368,4.0,4.0,official_series_pbcnet_rank,hold,jty027_property_followup,0.43350000000000005,hold,admit,review,review,sdf.jty027_sar_admet_property_packet.v1,/workspace/jldos_outputs/shared_runs/jty027_sar_autonomy/current_control_decision.json,0.9,0.12,0.22,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,no_explicit_receptor_waters,not_required,not_required,halogen_vector_claims,blocked_from_halogen_vector_rationale_until_geometry_audit,not_applicable,,,,,pose missing,recover docked pose before geometry claims
JTY027_aniline_diF_2Cyano_benzamide,JTY027,benzamide,0.35,,5.0,,missing_pbcnet_score,review,polarity_permeability_sentinel,0.3655,review,admit,review,review,sdf.jty027_sar_admet_property_packet.v1,/workspace/jldos_outputs/shared_runs/jty027_sar_autonomy/current_control_decision.json,0.9,0.12,0.92,0,0,0,0,,0,0,not_evaluated_no_receptor_atoms,observed_docked_pose,no_explicit_receptor_waters,required: water/site perception or contact-map overlay before wet-review claim,context_required,solvent_ledge_water_shell_probes,blocked_until_water_site_or_contact_overlay,not_applicable,,,,,water-context required,add water/site perception or contact-map overlay before wet-review claim
JTY027_aniline_diF_2Me_benzamide,JTY027,benzamide,0.907,0.0,6.0,5.0,official_series_pbcnet_rank,hold,incumbent_control,0.43350000000000005,hold,admit,review,review,sdf.jty027_sar_admet_property_packet.v1,/workspace/jldos_outputs/shared_runs/jty027_sar_autonomy/current_control_decision.json,0.9,0.12,0.1,0,0,0,0,,0,0,not_evaluated_no_receptor_atoms,observed_docked_pose,no_explicit_receptor_waters,not_required,not_required,none,not_claimed,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY027_aniline_diF_2Me6Cl_benzamide,JTY027,benzamide,0.879,0.06789628476703102,6.0,6.0,official_series_pbcnet_rank,hold,jty027_property_followup,0.5505,hold,review,review,review,sdf.jty027_sar_admet_property_packet.v1,/workspace/jldos_outputs/shared_runs/jty027_sar_autonomy/current_control_decision.json,0.9,0.12,0.22,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,no_explicit_receptor_waters,not_required,not_required,halogen_vector_claims,blocked_from_halogen_vector_rationale_until_geometry_audit,not_applicable,,,,,pose missing,recover docked pose before geometry claims
JTY027_aniline_diF_2CF3_benzamide,JTY027,benzamide,0.815,0.22226427225897374,7.0,7.0,official_series_pbcnet_rank,hold,tox_lipophilicity_contrast,0.5505,hold,review,review,review,sdf.jty027_sar_admet_property_packet.v1,/workspace/jldos_outputs/shared_runs/jty027_sar_autonomy/current_control_decision.json,0.9,0.12,0.92,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,no_explicit_receptor_waters,required: water/site perception or contact-map overlay before wet-review claim,context_required,solvent_ledge_water_shell_probes,blocked_until_water_site_or_contact_overlay,not_applicable,,,,,pose missing,recover docked pose before geometry claims
JTY027_aniline_diF_2F_benzamide,JTY027,benzamide,0.701,0.49525359503492444,8.0,8.0,official_series_pbcnet_rank,hold,permeability_preserving_matched_pair,0.43350000000000005,hold,admit,review,review,sdf.jty027_sar_admet_property_packet.v1,/workspace/jldos_outputs/shared_runs/jty027_sar_autonomy/current_control_decision.json,0.9,0.12,0.22,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,no_explicit_receptor_waters,not_required,not_required,halogen_vector_claims,blocked_from_halogen_vector_rationale_until_geometry_audit,not_applicable,,,,,pose missing,recover docked pose before geometry claims
